source_name,filename,file_owner,ra_deg,dec_deg,l_deg,b_deg,time_utc,time_mjd,size_gb,fres_khz,tsamp,tobs_min,npol
Crab_2021-06-16_8bit,/mnt/ucc4_data1/data/patrickk/Crab_2021-06-16_8bit.fil,root,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error
Crab_2022-06-14,/mnt/ucc4_data1/data/patrickk/Crab_2022-06-14.fil,patrickk,83.63333333333334,22.014472222222224,184.5576061682724,-5.784175806677177,2022-06-14T11:29:59.999,59744.47916665271,158.45,-24.41406,0.00065536,118.99896490666667,1
Crab_2021-06-16,/mnt/ucc4_data1/data/patrickk/Crab_2021-06-16.fil,patrickk,83.63333333333334,22.014472222222224,184.5576061682724,-5.784175806677177,2021-06-16T11:00:00.001,59381.45833334157,118.5,-24.41406,0.00065536,88.99892701866666,1
Crab_2022-04-12_8bit,/mnt/ucc4_data1/data/patrickk/Crab_2022-04-12_8bit.fil,root,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error
Crab_2022-06-14_8bit,/mnt/ucc4_data1/data/patrickk/Crab_2022-06-14_8bit.fil,root,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error
Crab_2022-06-17_8bit,/mnt/ucc4_data1/data/patrickk/Crab_2022-06-17_8bit.fil,root,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error
Crab_2022-03-09_8bit,/mnt/ucc4_data1/data/patrickk/Crab_2022-03-09_8bit.fil,root,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error,hdr error
J0103_208,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_208.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.088,59240.73663295974,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_404,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_404.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.284,59240.736635228255,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_291,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_291.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.171,59240.73663392039,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_95,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_95.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:44.975,59240.73663165187,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_454,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_454.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.334,59240.73663580696,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_281,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_281.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.161,59240.73663380465,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_113,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_113.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:44.993,59240.7366318602,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_388,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_388.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.268,59240.736635043075,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_395,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_395.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.275,59240.73663512409,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_359,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_359.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.239,59240.73663470743,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_70,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_70.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:44.950,59240.73663136252,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_59,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_59.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:44.939,59240.7366312352,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_107,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_107.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:44.987,59240.73663179076,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_186,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_186.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.066,59240.73663270511,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_482,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_482.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.362,59240.736636131034,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_11,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_11.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:44.891,59240.73663067965,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_9,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_9.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:44.889,59240.7366306565,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_372,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_372.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.252,59240.73663485789,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_343,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_343.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.223,59240.73663452224,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_86,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_86.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:44.966,59240.736631547705,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_238,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_238.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.118,59240.73663330696,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_433,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_433.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.313,59240.7366355639,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_1,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_1.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:44.881,59240.73663056391,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_4,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_4.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:44.884,59240.73663059863,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_191,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_191.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.071,59240.73663276298,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_133,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_133.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.013,59240.736632091684,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_483,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_483.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.363,59240.73663614261,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_462,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_462.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.342,59240.73663589956,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_111,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_111.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:44.991,59240.736631837055,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_327,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_327.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.207,59240.73663433705,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_348,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_348.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.228,59240.73663458011,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_459,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_459.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:45.339,59240.73663586483,0.09,-24.414,0.00065536,0.2747706026666667,1
J0103_114,/mnt/ucc4_data1/data/David/toaErrorWorkdir/cyclic/J0103_114.fil,obs,15.904166666666676,54.03333333333334,124.74084337133651,-8.795633485058762,2021-01-26T17:40:44.994,59240.736631871776,0.09,-24.414,0.00065536,0.2747706026666667,1
