Target,Date,MJD,Lane Count,Total Size (GB),Path,Header Path
LOFTS0071,2024-10-16 14:27:51,60599.60267361111,4,699.724546186626,/mnt/ucc1_recording1/data/observations/20241015T173600/20241016142751LOFTS0071,Unknown
Crab,2024-05-08 12:05:51,60438.5040625,4,566.5765037052333,/mnt/ucc1_recording1/data/observations/20240507T060000/20240508120551Crab_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/Crab.sigprochdr
J1532+00,2024-05-07 23:17:51,60437.97072916667,4,791.5644029686227,/mnt/ucc1_recording1/data/observations/20240507T060000/20240507231751J1532+00,/mnt/ucc4_data2/data/David/hdrs/mode5/J1532+00.sigprochdr
Crab,2024-08-12 07:59:51,60534.33322916667,4,447.74814425967634,/mnt/ucc1_recording1/data/observations/20240812T063000/20240812075951Crab_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/Crab.sigprochdr
B1508+55,2025-02-26 03:44:51,60732.15614583333,4,1548.350075245835,/mnt/ucc1_recording1/data/observations/20250226T031500/20250226034451B1508+55_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/B1508+55.sigprochdr
J1758+44,2024-09-03 19:29:51,60556.81239583333,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240903T043000/20240903192951J1758+44,/mnt/ucc4_data2/data/David/hdrs/mode5/J1758+44.sigprochdr
J1732+54,2024-09-03 18:29:51,60556.77072916667,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240903T043000/20240903182951J1732+54,/mnt/ucc4_data2/data/David/hdrs/mode5/J1732+54.sigprochdr
J1548+09,2024-09-03 17:29:51,60556.7290625,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240903T043000/20240903172951J1548+09,/mnt/ucc4_data2/data/David/hdrs/mode5/J1548+09.sigprochdr
J1541+47,2024-09-03 16:29:51,60556.68739583333,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240903T043000/20240903162951J1541+47,/mnt/ucc4_data2/data/David/hdrs/mode5/J1541+47.sigprochdr
Crab,2024-09-03 06:59:51,60556.2915625,4,295.8301982693374,/mnt/ucc1_recording1/data/observations/20240903T043000/20240903065951Crab_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/Crab.sigprochdr
J1412+31,2024-09-03 15:29:51,60556.64572916667,4,4.842877388000488e-08,/mnt/ucc1_recording1/data/observations/20240903T043000/20240903152951J1412+31,/mnt/ucc4_data2/data/David/hdrs/mode5/J1412+31.sigprochdr
J0034-0534,2024-01-09 17:39:51,60318.73600694444,4,341.37384355068207,/mnt/ucc1_recording1/data/observations/20240109T073000/20240109173951J0034-0534_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/J0034-0534.sigprochdr
J1022+1001,2024-01-10 03:39:51,60319.15267361111,4,335.7847310146317,/mnt/ucc1_recording1/data/observations/20240109T073000/20240110033951J1022+1001_PSR,/mnt/ucc4_data2/data/David/hdrs/mode5/J1022+1001.sigprochdr
